clean,comf,ctg_name,ctg_pplt,ctg_rank,date,datetime,fclt,hotel_address,hotel_name,hotel_url,loct,review_qty,review_score,staff,vfm,wifi
9.1,9.1,,,,,,8.7,"〒612-8081 京都府, 京都市, Shinmachi 11-349, Fushimi-ku",ジャパニング ホテル 京都 丹波橋,https://www.booking.com/reviews/jp/hotel/japaning-dan-bo-qiao.ja.html,7.9,アパートメントのクチコミ84件の評価,,7.9,8.5,8.8
8.8,8.3,京都市のホテルランキング,：,109位,,,8.7,"〒600-8142 京都府, 京都市, 下京区土手町通七条上る納屋町418",バックパッカーズホステル　ケイズハウス京都,https://www.booking.com/reviews/jp/hotel/backpackers-hostel-k-s-house-kyoto.ja.html,8.5,ホステルのクチコミ2082件の評価,,9.1,8.7,8.6
9.1,8.4,,,,,,8.2,"〒602-8222 京都府, 京都市, 上京区晴明町816-2",Villa Front Kyoto Seimei,https://www.booking.com/reviews/jp/hotel/villa-front-kyoto-seimei.ja.html,6.7,ホテルのクチコミ40件の評価,,6.8,7.8,10
8,7.6,,,,,,7.5,"〒605-0846 京都府, 京都市, 東山区五条橋東 6-516",清水五条 三福,https://www.booking.com/reviews/jp/hotel/mifuku-kyoto.ja.html,8.5,ホテルのクチコミ29件の評価,,7.2,7.6,2.5
9.3,9,京都市のホテルランキング,：,123位,,,8.8,"〒600-8169 京都府, 京都市, 下京区東魚屋町233",烏丸六条ホテル,https://www.booking.com/reviews/jp/hotel/wu-wan-liu-tiao-hoteru.ja.html,8.5,ホテルのクチコミ334件の評価,,8.8,8.6,9
9.4,8.7,,,,,,8.4,"〒605-0083 京都府, 京都市, 東山区橋本町405-15",京都　祇園新橋庵,https://www.booking.com/reviews/jp/hotel/kyoto-gion-shinbashian.ja.html,8.8,ホテルのクチコミ54件の評価,,7.8,8.5,7.5
9,8.8,,,,,,8.6,"〒612-8449 京都府, 京都市, 伏見区竹田西小屋ノ内町１",ホテルインザグリーン （大人専用）,https://www.booking.com/reviews/jp/hotel/in-the-green.ja.html,5.6,ホテルのクチコミ23件の評価,,7.8,6.4,6.9
8,7.7,京都市のホテルランキング,：,230位,,,7.5,"〒600-8302 京都府, 京都市, 下京区新町通五条下る蛭子町 134-1",ゲストハウス京都コスタデルソル,https://www.booking.com/reviews/jp/hotel/guest-house-costa-del-sol-kyoto.ja.html,8.1,ホステルのクチコミ750件の評価,,8.6,8,7.9
8.8,8.4,京都市のバケーションレンタルのランキング,：,267位,,,8.2,"〒605-0876 京都府, 京都市, 東山区上梅屋町164",ジャパニングホテル清水五条,https://www.booking.com/reviews/jp/hotel/japaning-kiyomizu-gojo.ja.html,7.3,ホテルのクチコミ80件の評価,,7.3,7.9,6.7
8.1,7.6,京都市のホテルランキング,：,243位,,,7.6,"〒600-8216 京都府, 京都市, 下京区塩小路通烏丸西入東塩小路町579",松本旅館,https://www.booking.com/reviews/jp/hotel/matsumoto-ryokan.ja.html,9.1,ホテルのクチコミ403件の評価,,8.3,7.4,7.5
9.4,9.1,京都市のホテルランキング,：,112位,,,9,"〒601-8044 京都府, 京都市, 京都市南区東九条明田町7",ホテル　アンテルーム　京都,https://www.booking.com/reviews/jp/hotel/anteroom.ja.html,7.5,ホテルのクチコミ331件の評価,,9.1,8.7,9.2
8.7,7.8,京都市のホテルランキング,：,200位,,,8.1,"〒600-8031 京都府, 京都市, 下京区寺町通四条下ル貞安前之町588",ナインアワーズ京都,https://www.booking.com/reviews/jp/hotel/nine-hours.ja.html,8.8,ホテルのクチコミ2093件の評価,,8.5,8.2,8
7.3,7.4,京都市のB&B  /インのランキング,：,156位,,,7.3,"〒600-8885 京都府, 京都市, 京都市下京区七条南月読町101",サクラゲストハウス,https://www.booking.com/reviews/jp/hotel/sakura-guest-house-kyoto.ja.html,6.9,ホテルのクチコミ233件の評価,,7.6,7.5,7.5
9.5,9.1,,,,,,9.3,"〒601-8438 京都府, 京都市, 南区西九条東比永城町","The Next Door Hostel, lower east nine",https://www.booking.com/reviews/jp/hotel/the-next-door-lower-east-nine-hostel.ja.html,8.6,ホステルのクチコミ492件の評価,9.1,9.4,9,9.1
8.5,8.3,京都市のホテルランキング,：,161位,,,8.3,"〒600-8269 京都府, 京都市, 下京区西八百屋町152",京都ゲストハウス　らんたん,https://www.booking.com/reviews/jp/hotel/kyoto-guesthouse-lantern.ja.html,8.4,ホステルのクチコミ485件の評価,,9.1,8.5,9.1
9.1,9.3,京都市のバケーションレンタルのランキング,：,231位,,,9.3,"〒606-8323 京都府, 京都市, 左京区聖護院円頓美町 22-12",聖護院 ねねこ,https://www.booking.com/reviews/jp/hotel/shogoin-neneko.ja.html,8.9,ホテルのクチコミ11件の評価,9.1,9.6,8.6,10
7.7,7.6,京都市のホテルランキング,：,286位,,,7.5,"〒604-8263 京都府, 京都市, 中京区堀川通三条上ル東側",京都堀川イン,https://www.booking.com/reviews/jp/hotel/kyoto-horikawa-inn.ja.html,7.6,ホテルのクチコミ213件の評価,,8.2,7.8,7.6
